run,accuracy,precision,recall_pos,recall_neg,auc,loss,confusion_matrix,time_sec,cpu_percent,ram_percent
1,0.5404858299595142,0.578125,0.29959514170040485,0.7813765182186235,0.6510842662557983,0.7726666488145527,"[[193, 54], [173, 74]]",26.935870885849,8.1,79.8
2,0.645748987854251,0.6118012422360248,0.7975708502024291,0.4939271255060729,0.7172220492058549,0.6670196966121071,"[[122, 125], [50, 197]]",27.440628051757812,17.1,76.5
3,0.6012145748987854,0.5856164383561644,0.6923076923076923,0.5101214574898786,0.634316248422364,0.724995726757204,"[[126, 121], [76, 171]]",26.910418272018433,45.3,75.7
4,0.6093117408906883,0.68,0.41295546558704455,0.805668016194332,0.6856201544034487,0.7534457956731078,"[[199, 48], [145, 102]]",26.4841251373291,9.0,76.2
5,0.6153846153846154,0.6912751677852349,0.41700404858299595,0.8137651821862348,0.686111885131702,0.7323673531594064,"[[201, 46], [144, 103]]",26.573812007904053,12.5,77.1
6,0.5951417004048583,0.5914396887159533,0.6153846153846154,0.5748987854251012,0.6090085069415988,0.7772310858796,"[[142, 105], [95, 152]]",26.492573022842407,6.9,73.4
7,0.5242914979757085,0.5882352941176471,0.16194331983805668,0.8866396761133604,0.6453474077595108,0.8810530780298025,"[[219, 28], [207, 40]]",26.472702026367188,8.0,78.1
8,0.5951417004048583,0.6256684491978609,0.47368421052631576,0.7165991902834008,0.6737858348768215,0.7222098131411472,"[[177, 70], [130, 117]]",26.557191848754883,16.7,70.3
