run,accuracy,precision,recall_pos,recall_neg,auc,loss,cpu_percent,ram_percent,time_sec
1,0.9696356275303644,0.9915254237288136,0.9473684210526315,0.9919028340080972,0.9933780261928568,0.2727999935871738,54.78,74.59,819.7
2,0.9696356275303644,0.9915254237288136,0.9473684210526315,0.9919028340080972,0.9898211739251586,0.3143628378833573,44.27,74.43,529.4
3,0.9635627530364372,1.0,0.9271255060728745,1.0,0.9931485518530053,0.24819126293729607,42.81,73.69,448.25
4,0.9615384615384616,0.9871794871794872,0.9352226720647774,0.9878542510121457,0.9913291481584685,0.22309081092277006,52.28,74.1,490.28
5,0.9736842105263158,0.9915966386554622,0.9554655870445344,0.9919028340080972,0.9946237440377649,0.22458840059451118,46.16,74.24,495.345
6,0.9615384615384616,0.9634146341463414,0.9595141700404858,0.9635627530364372,0.9918208788867217,0.25478770861964256,42.83,73.72,666.295
7,0.9615384615384616,0.9710743801652892,0.951417004048583,0.97165991902834,0.9934763723385074,0.1931752933091239,47.04,72.46,458.325
8,0.9595141700404858,1.0,0.9190283400809717,1.0,0.9939353210182105,0.3285143541997894,42.41,72.56,524.395
9,0.9574898785425101,0.9829059829059829,0.9311740890688259,0.9838056680161943,0.9897720008523333,0.35160272521491637,35.15,70.31,687.768
10,0.9554655870445344,0.9554655870445344,0.9554655870445344,0.9554655870445344,0.988345981740399,0.18889324224143014,36.89,69.58,437.658
11,0.9493927125506073,1.0,0.8987854251012146,1.0,0.9897228277795079,0.4693063027544752,34.95,69.55,765.469
12,0.9635627530364372,0.9872340425531915,0.9392712550607287,0.9878542510121457,0.9910013276729662,0.42760624700564986,35.85,69.39,640.313
13,0.9757085020242915,0.9835390946502057,0.9676113360323887,0.9838056680161943,0.9931649428772804,0.19115973219191132,34.24,69.69,547.203
14,0.9696356275303644,0.9873949579831933,0.951417004048583,0.9878542510121457,0.9944270517464636,0.2666924586125157,34.37,69.85,584.266
15,0.9676113360323887,0.9832635983263598,0.951417004048583,0.9838056680161943,0.9962300644167255,0.1701295480329629,35.17,69.64,506.202
16,0.9615384615384616,0.9913793103448276,0.9311740890688259,0.9919028340080972,0.9927387762461275,0.31094092665154754,35.61,69.98,765.494
17,0.9696356275303644,1.0,0.9392712550607287,1.0,0.9956727695913719,0.27220682167713633,48.12,70.88,834.603
18,0.937246963562753,1.0,0.8744939271255061,1.0,0.9921159173236735,0.6206806969080629,48.61,69.93,680.382
19,0.9635627530364372,0.9872340425531915,0.9392712550607287,0.9878542510121457,0.9934927633627825,0.27725138451747583,47.25,69.63,478.597
20,0.9554655870445344,0.9955947136563876,0.9149797570850202,0.9959514170040485,0.9946729171105902,0.45380288361283516,47.94,69.57,766.648
