run,accuracy,precision,recall_pos,recall_neg,auc,execution_time,cpu_percent,ram_percent
1,0.5991902834008097,0.6622516556291391,0.4048582995951417,0.7935222672064778,0.6656394958120933,4.746182708000049,42.3,74.0
2,0.582995951417004,0.6242424242424243,0.41700404858299595,0.7489878542510121,0.6667049123899752,4.73517004200005,36.8,71.8
3,0.5850202429149798,0.622093023255814,0.4331983805668016,0.7368421052631579,0.6586077463980724,4.7002076250000755,36.6,73.9
4,0.5769230769230769,0.611764705882353,0.42105263157894735,0.7327935222672065,0.658837220737924,4.786431499999935,33.4,73.9
5,0.5931174089068826,0.6385542168674698,0.4291497975708502,0.757085020242915,0.669425822419643,4.752933958000085,32.5,73.7
6,0.5708502024291497,0.5829383886255924,0.4979757085020243,0.6437246963562753,0.6184497369240604,4.692729291999967,32.9,72.0
7,0.5344129554655871,0.5639097744360902,0.30364372469635625,0.7651821862348178,0.6278581848579717,4.710954083000161,34.5,73.4
8,0.6133603238866396,0.6521739130434783,0.48582995951417,0.7408906882591093,0.6696716877837696,5.976621458999944,35.4,71.9
9,0.5728744939271255,0.6323529411764706,0.3481781376518219,0.7975708502024291,0.642429805438542,5.0482757499999025,45.4,75.5
10,0.5404858299595142,0.5877192982456141,0.27125506072874495,0.8097165991902834,0.6284482617318756,5.144309792000058,38.9,75.7
11,0.5890688259109311,0.6392405063291139,0.4089068825910931,0.7692307692307693,0.6808011932665673,5.720503499999722,46.8,75.6
12,0.5425101214574899,0.6105263157894737,0.23481781376518218,0.8502024291497976,0.6376436263502105,5.476960832999794,39.8,73.7
13,0.6214574898785425,0.6807228915662651,0.4574898785425101,0.7854251012145749,0.7028635119408613,5.220609166000031,39.4,74.9
14,0.5890688259109311,0.6375,0.41295546558704455,0.7651821862348178,0.6567555606549854,5.075811833000444,40.2,74.7
15,0.5748987854251012,0.6178343949044586,0.39271255060728744,0.757085020242915,0.6364306905538528,4.85800241600009,42.2,73.8
16,0.5526315789473685,0.6,0.3157894736842105,0.7894736842105263,0.6341031651067874,4.600338415999431,42.9,71.8
17,0.5850202429149798,0.64,0.38866396761133604,0.7813765182186235,0.6622629448114212,4.587019999999939,33.4,73.5
18,0.5688259109311741,0.6164383561643836,0.3643724696356275,0.7732793522267206,0.6483469652018555,4.602203583000119,33.2,73.5
19,0.5647773279352226,0.6159420289855072,0.3441295546558704,0.7854251012145749,0.6358078316313986,4.59724154199921,33.3,73.5
20,0.5607287449392713,0.5842696629213483,0.42105263157894735,0.7004048582995951,0.6205477880312741,4.689286083999832,35.3,73.3
