Accuracy,Precision,Recall+,Recall-,F1-Score,Loss,AUC,CPU %,RAM %,Disk %,Exec Time (s)
0.9655870445344129,0.9956896551724138,0.9352226720647774,0.9959514170040485,0.964509394572025,0.12050562351942062,0.9912144109885426,59.0,73.1,1.9,448.733469247818
0.9655870445344129,0.9956896551724138,0.9352226720647774,0.9959514170040485,0.964509394572025,0.13027246296405792,0.9921978724450491,65.9,69.9,1.9,465.6386568546295
0.9615384615384616,0.9956521739130435,0.9271255060728745,0.9959514170040485,0.960167714884696,0.12653565406799316,0.9927059941975774,52.7,67.9,1.9,415.90577578544617
0.9676113360323887,0.9914893617021276,0.9433198380566802,0.9919028340080972,0.966804979253112,0.12242884188890457,0.9917553147896212,47.9,67.4,1.9,393.46290397644043
0.9635627530364372,0.9914163090128756,0.9352226720647774,0.9919028340080972,0.9625,0.11944478005170822,0.9917553147896212,45.5,67.5,1.9,393.3678569793701
0.9635627530364372,0.9956709956709957,0.9311740890688259,0.9959514170040485,0.9623430962343096,0.12864670157432556,0.9908865905030405,48.4,72.6,1.9,398.78577876091003
0.9635627530364372,0.9956709956709957,0.9311740890688259,0.9959514170040485,0.9623430962343096,0.1350853443145752,0.9919847891294727,48.2,65.9,1.9,399.11562180519104
0.9635627530364372,0.9914163090128756,0.9352226720647774,0.9919028340080972,0.9625,0.12966026365756989,0.9918044878624466,45.3,66.1,1.9,392.8361358642578
0.9615384615384616,0.9871794871794872,0.9352226720647774,0.9878542510121457,0.9604989604989606,0.1237989291548729,0.9923617826878002,48.0,65.5,1.9,402.3776159286499
0.9676113360323887,1.0,0.9352226720647774,1.0,0.9665271966527197,0.12150350213050842,0.992935468537429,45.9,65.9,1.9,392.96907472610474
0.9676113360323887,1.0,0.9352226720647774,1.0,0.9665271966527197,0.12353692203760147,0.9920667442508483,46.1,68.1,1.9,393.38128900527954
0.9574898785425101,0.991304347826087,0.9230769230769231,0.9919028340080972,0.9559748427672956,0.1365193873643875,0.9917061417167959,45.9,65.4,1.9,393.2420108318329
0.9595141700404858,0.9913419913419913,0.9271255060728745,0.9919028340080972,0.9581589958158996,0.13703063130378723,0.9920831352751233,48.0,66.5,1.9,403.08346819877625
0.9655870445344129,0.9956896551724138,0.9352226720647774,0.9959514170040485,0.964509394572025,0.12624682486057281,0.9925256929305513,50.4,64.2,1.9,405.6284899711609
0.9615384615384616,0.9956521739130435,0.9271255060728745,0.9959514170040485,0.960167714884696,0.13288094103336334,0.9894605713911063,52.3,68.2,1.9,406.8686978816986
0.9615384615384616,0.9913793103448276,0.9311740890688259,0.9919028340080972,0.9603340292275574,0.12317084521055222,0.9914766673769444,52.0,66.4,1.9,404.37278413772583
0.9655870445344129,0.9956896551724138,0.9352226720647774,0.9959514170040485,0.964509394572025,0.12461426854133606,0.9902965136291366,52.0,66.6,1.9,404.1525230407715
0.9615384615384616,1.0,0.9230769230769231,1.0,0.96,0.13308945298194885,0.991575013522595,55.9,70.1,1.9,421.0519030094147
0.9655870445344129,0.9872881355932204,0.9433198380566802,0.9878542510121457,0.9648033126293996,0.11075049638748169,0.9920503532265731,53.0,66.7,1.9,404.1595730781555
0.9595141700404858,0.9956331877729258,0.9230769230769231,0.9959514170040485,0.957983193277311,0.13197045028209686,0.992640430100477,53.1,71.1,1.9,404.9780070781708
