,mean,std,min,max
run,10.5,5.916079783099616,1.0,20.0
accuracy,0.9567813765182187,0.004063206065378591,0.9453441295546559,0.9635627530364372
precision,0.9903231563806443,0.008984318555613633,0.9741379310344828,1.0
recall_pos,0.9226720647773281,0.005859597463043714,0.9149797570850202,0.9352226720647774
recall_neg,0.9908906882591092,0.008499994684333345,0.9757085020242915,1.0
auc,0.9852890557130918,0.0018725039134689083,0.9823140848071595,0.9890507957842285
loss,0.19808024242520333,0.03293098842084024,0.1481531411409378,0.24854961037635803
cpu_percent,66.97999999999999,9.910101173204938,48.5,82.2
ram_percent,70.58500000000001,3.4452522633175544,64.0,76.5
time_sec,3113.4996483922005,644.1954225657225,1993.6740338802338,4122.494577884674
