run,accuracy,precision,recall_pos,recall_neg,auc,loss,cpu_percent,ram_percent,time_sec
1,0.9554655870445344,0.987012987012987,0.9230769230769231,0.9878542510121457,0.9848874756183514,0.17307902872562408,48.5,68.6,3136.2973067760468
2,0.9534412955465587,0.9869565217391304,0.9190283400809717,0.9878542510121457,0.9837401039190938,0.1826724410057068,49.2,67.2,3069.5060200691223
3,0.9554655870445344,0.9828326180257511,0.9271255060728745,0.9838056680161943,0.9824124309528102,0.19695717096328735,52.4,76.5,3056.577043771744
4,0.9595141700404858,1.0,0.9190283400809717,1.0,0.9851989050795784,0.2049434632062912,68.8,73.0,3064.7752418518066
5,0.9453441295546559,0.9741379310344828,0.9149797570850202,0.9757085020242915,0.9823140848071595,0.19887694716453552,54.3,66.0,2260.1954638957977
6,0.9595141700404858,0.9956331877729258,0.9230769230769231,0.9959514170040485,0.9859037191234079,0.17064721882343292,70.6,64.0,3616.605731010437
7,0.9574898785425101,1.0,0.9149797570850202,1.0,0.9840187513317707,0.23758715391159058,81.7,75.8,3723.121234178543
8,0.9554655870445344,0.9828326180257511,0.9271255060728745,0.9838056680161943,0.985575898637906,0.15569794178009033,79.6,71.5,3250.4222741127014
9,0.9574898785425101,0.9956140350877193,0.9190283400809717,0.9959514170040485,0.9836745398219934,0.24540624022483826,82.2,76.5,3827.7283248901367
10,0.9595141700404858,0.9956331877729258,0.9230769230769231,0.9959514170040485,0.9872313920896917,0.24470961093902588,71.4,71.3,3768.428375720978
11,0.9574898785425101,1.0,0.9149797570850202,1.0,0.9865921421429625,0.23428209125995636,66.1,70.3,2443.5299940109253
12,0.9554655870445344,0.9746835443037974,0.9352226720647774,0.9757085020242915,0.9861004114147093,0.15170498192310333,65.7,70.2,2076.942591905594
13,0.9615384615384616,0.9956521739130435,0.9271255060728745,0.9959514170040485,0.9890507957842285,0.18772412836551666,65.5,68.4,3437.020640850067
14,0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.9857070268321068,0.17451798915863037,64.5,71.8,1993.6740338802338
15,0.9595141700404858,1.0,0.9190283400809717,1.0,0.9837237128948187,0.21286705136299133,65.4,71.3,2296.339467048645
16,0.9554655870445344,0.9828326180257511,0.9271255060728745,0.9838056680161943,0.986821616482814,0.1481531411409378,63.8,69.8,2482.687267065048
17,0.9574898785425101,1.0,0.9149797570850202,1.0,0.9870838728712158,0.24854961037635803,73.6,69.7,3637.594502925873
18,0.9635627530364372,1.0,0.9271255060728745,1.0,0.9882640266190234,0.22772212326526642,69.7,69.0,3608.2520129680634
19,0.9493927125506073,0.978448275862069,0.9190283400809717,0.979757085020243,0.9839859692832205,0.16794192790985107,69.0,74.3,3397.8008630275726
20,0.9595141700404858,0.9871244635193133,0.9311740890688259,0.9878542510121457,0.9834942385549674,0.19756458699703217,77.6,66.5,4122.494577884674
