Accuracy,Precision,Recall+,Recall-,F1-Score,Loss,AUC,CPU %,RAM %,Disk %,Exec Time (s)
0.9493927125506073,1.0,0.8987854251012146,1.0,0.9466950959488273,0.1734887808561325,0.9907062892360143,49.4,75.3,1.9,354.8694269657135
0.9635627530364372,1.0,0.9271255060728745,1.0,0.9621848739495799,0.12730009853839874,0.9945090068678392,51.3,73.7,1.9,359.1486482620239
0.951417004048583,0.9955555555555555,0.9068825910931174,0.9959514170040485,0.9491525423728814,0.1384592354297638,0.9946893081348653,48.5,74.9,1.9,352.3742640018463
0.9595141700404858,1.0,0.9190283400809717,1.0,0.9578059071729957,0.1604158729314804,0.9911980199642676,48.9,73.1,1.9,348.43865871429443
0.9412955465587044,0.9954545454545455,0.8866396761133604,0.9959514170040485,0.9379014989293362,0.19281958043575287,0.9915586224983199,45.3,71.6,1.9,342.5077600479126
0.9635627530364372,1.0,0.9271255060728745,1.0,0.9621848739495799,0.12606605887413025,0.9957383336884722,38.6,70.9,1.9,321.62997126579285
0.9534412955465587,1.0,0.9068825910931174,1.0,0.9511677282377919,0.16587291657924652,0.9916405776196954,38.1,71.0,1.9,321.2814259529114
0.9615384615384616,0.9956521739130435,0.9271255060728745,0.9959514170040485,0.960167714884696,0.12031535059213638,0.9953613401301448,39.1,71.7,1.9,321.67154693603516
0.9534412955465587,1.0,0.9068825910931174,1.0,0.9511677282377919,0.15154169499874115,0.9926076480519267,39.3,72.6,1.9,323.7918839454651
0.9635627530364372,0.9914163090128756,0.9352226720647774,0.9919028340080972,0.9625,0.11249689012765884,0.9924601288334507,47.1,71.2,1.9,342.6143219470978
0.9574898785425101,0.9956140350877193,0.9190283400809717,0.9959514170040485,0.9557894736842105,0.13571733236312866,0.9919847891294726,47.0,71.3,1.9,346.3147621154785
0.9493927125506073,1.0,0.8987854251012146,1.0,0.9466950959488273,0.15004681050777435,0.9927059941975773,47.4,73.6,1.9,340.5979597568512
0.9574898785425101,1.0,0.9149797570850202,1.0,0.9556025369978859,0.13006280362606049,0.9957383336884722,48.9,73.4,1.9,343.4802930355072
0.9493927125506073,0.9955357142857143,0.902834008097166,0.9959514170040485,0.9469214437367304,0.1506301313638687,0.994804045304791,49.3,73.7,1.9,333.7639570236206
0.951417004048583,1.0,0.902834008097166,1.0,0.948936170212766,0.19240795075893402,0.9910013276729662,43.3,74.4,1.9,333.7528712749481
0.9676113360323887,0.9957081545064378,0.9392712550607287,0.9959514170040485,0.9666666666666667,0.09417986869812012,0.9957055516399219,45.2,73.7,1.9,336.9717309474945
0.9453441295546559,1.0,0.8906882591093117,1.0,0.9421841541755889,0.18351063132286072,0.9921978724450491,45.2,76.2,1.9,343.52154088020325
0.9595141700404858,0.9956331877729258,0.9230769230769231,0.9959514170040485,0.957983193277311,0.1389492154121399,0.992181481420774,45.8,70.6,1.9,332.0820138454437
0.9838056680161943,0.995850622406639,0.97165991902834,0.9959514170040485,0.9836065573770492,0.07220985740423203,0.9956072054942713,42.3,68.7,1.9,321.9962360858917
0.9615384615384616,0.9956521739130435,0.9271255060728745,0.9959514170040485,0.960167714884696,0.12969014048576355,0.9919356160566474,37.6,69.1,1.9,320.988853931427
