Accuracy,Precision,Recall+,Recall-,Loss,AUC,CPU %,RAM %,Disk %,Exec Time (s)
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.5319940447807312,0.9903948597747874,7.4,68.0,1.9,454.7635748386383
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.5322242379188538,0.9903129046534118,27.7,64.0,1.9,435.66229724884033
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.532001793384552,0.9908374174302153,13.5,64.0,1.9,426.6174600124359
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.5319092273712158,0.9902801226048616,41.6,63.9,1.9,427.12425684928894
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.5325862169265747,0.990640725138914,13.5,64.1,1.9,427.95136404037476
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.5319174528121948,0.9905915520660886,13.9,64.4,1.9,426.1153738498688
0.9595141700404858,0.9913419913419913,0.9271255060728745,0.9919028340080972,0.5321306586265564,0.9906571161631891,1.0,63.2,1.9,430.72402000427246
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.5322042107582092,0.9905587700175383,1.2,63.9,1.9,425.36438512802124
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.5319339036941528,0.9905095969447131,7.3,64.6,1.9,425.3977401256561
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.5319884419441223,0.9903948597747874,0.2,63.7,1.9,425.9732310771942
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.531826913356781,0.9901653854349358,13.8,64.0,1.9,425.9323890209198
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.5318765044212341,0.9903784687505122,19.1,67.8,1.9,439.58319306373596
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.5323496460914612,0.9904112507990624,17.6,69.5,1.9,460.3862018585205
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.5323524475097656,0.9903784687505122,19.0,76.4,1.9,483.08942794799805
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.5320624709129333,0.9903620777262372,15.3,76.6,1.9,464.73629212379456
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.5317678451538086,0.9907226802602895,8.6,75.0,1.9,465.54883575439453
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.5322487950325012,0.9906079430903637,30.7,77.2,1.9,526.8422479629517
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.5317312479019165,0.9908701994787654,35.7,77.0,1.9,466.9702548980713
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.532287061214447,0.9907718533331148,7.8,77.0,1.9,459.8112168312073
0.9574898785425101,0.9870689655172413,0.9271255060728745,0.9878542510121457,0.5319674611091614,0.9905423789932634,7.6,76.1,1.9,445.45885372161865
