run,accuracy,precision,recall_pos,recall_neg,f1,auc,loss,cpu_percent,ram_MB,time_sec
1,0.9615384615384616,0.9871794871794872,0.9352226720647774,0.9878542510121457,0.9604989604989606,0.9852234916159911,0.24073238670825958,77.0,-1063.234375,1055.3357100486755
2,0.9595141700404858,0.9956331877729258,0.9230769230769231,0.9959514170040485,0.957983193277311,0.9906079430903637,0.19886088371276855,68.8,-648.828125,970.5418429374695
3,0.9635627530364372,1.0,0.9271255060728745,1.0,0.9621848739495799,0.9887721483715517,0.22311954200267792,70.6,339.859375,1010.5693759918213
4,0.9736842105263158,0.9915966386554622,0.9554655870445344,0.9919028340080972,0.9731958762886598,0.9910832827943419,0.14280879497528076,78.1,279.4375,1059.313642024994
5,0.9534412955465587,0.995575221238938,0.9109311740890689,0.9959514170040485,0.9513742071881607,0.9917389237653461,0.19614602625370026,78.2,7.21875,1060.5884091854095
6,0.97165991902834,0.9957446808510638,0.9473684210526315,0.9959514170040485,0.970954356846473,0.9907390712845645,0.16425378620624542,82.1,-183.234375,1109.364989042282
7,0.9655870445344129,0.9872881355932204,0.9433198380566802,0.9878542510121457,0.9648033126293996,0.9943614876493632,0.12479343265295029,72.7,-1699.8125,928.5662369728088
8,0.9615384615384616,0.9913793103448276,0.9311740890688259,0.9919028340080972,0.9603340292275574,0.9867232703371633,0.23842820525169373,70.7,1347.34375,942.5459480285645
9,0.9534412955465587,0.995575221238938,0.9109311740890689,0.9959514170040485,0.9513742071881607,0.9884935009588749,0.24815776944160461,60.3,-151.828125,831.0399699211121
10,0.9655870445344129,1.0,0.9311740890688259,1.0,0.9643605870020965,0.9910013276729662,0.15509702265262604,60.4,-305.046875,831.459055185318
11,0.951417004048583,1.0,0.902834008097166,1.0,0.948936170212766,0.9871986100411415,0.29788634181022644,64.7,1344.25,880.7977271080017
12,0.9655870445344129,0.9914529914529915,0.9392712550607287,0.9919028340080972,0.9646569646569647,0.9897556098280581,0.19090993702411652,66.9,-563.34375,885.7955017089844
13,0.9696356275303644,1.0,0.9392712550607287,1.0,0.9686847599164927,0.9894441803668311,0.17690451443195343,60.5,-216.671875,832.9287450313568
14,0.9676113360323887,0.9914893617021276,0.9433198380566802,0.9919028340080972,0.966804979253112,0.9903292956776869,0.19088533520698547,60.9,58.34375,832.5379769802094
15,0.9635627530364372,0.9956709956709957,0.9311740890688259,0.9959514170040485,0.9623430962343096,0.9899359110950844,0.1809052675962448,69.2,1536.78125,941.5230581760406
16,0.9696356275303644,1.0,0.9392712550607287,1.0,0.9686847599164927,0.9899523021193595,0.16730056703090668,80.0,-743.328125,1043.751502275467
17,0.9595141700404858,0.9913419913419913,0.9271255060728745,0.9919028340080972,0.9581589958158996,0.9916733596682455,0.2080487757921219,62.1,-875.1875,832.9194619655609
18,0.9554655870445344,0.9912663755458515,0.9190283400809717,0.9919028340080972,0.9537815126050421,0.9889196675900278,0.23240791261196136,60.5,93.25,832.9659340381622
19,0.9696356275303644,0.9915254237288136,0.9473684210526315,0.9919028340080972,0.968944099378882,0.9936238915569834,0.1338505744934082,60.2,-300.5625,832.7034139633179
20,0.951417004048583,0.9911894273127754,0.9109311740890689,0.9919028340080972,0.9493670886075949,0.9874608664295432,0.23521588742733002,61.3,714.5,844.2359108924866
