Accuracy,Precision,Recall+,Recall-,F1-Score,Loss,AUC,CPU %,RAM %,Disk %,Exec Time (s)
0.9777327935222672,0.9957983193277311,0.9595141700404858,0.9959514170040485,0.977319587628866,0.5206795334815979,0.9936075005327083,18.6,73.5,1.9,568.9111421108246
0.97165991902834,0.9874476987447699,0.9554655870445344,0.9878542510121457,0.9711934156378601,0.5231421589851379,0.9914930584012195,20.4,74.0,1.9,528.6740169525146
0.9696356275303644,0.9957264957264957,0.9433198380566802,0.9959514170040485,0.9688149688149689,0.5183471441268921,0.9939517120424856,7.8,73.8,1.9,563.4817981719971
0.9777327935222672,1.0,0.9554655870445344,1.0,0.9772256728778468,0.5152558088302612,0.9958366798341229,14.1,74.8,1.9,563.4192430973053
0.9433198380566802,1.0,0.8866396761133604,1.0,0.9399141630901288,0.5293427109718323,0.9910013276729662,6.9,73.8,1.9,563.764753818512
0.9736842105263158,0.9875,0.9595141700404858,0.9878542510121457,0.973305954825462,0.5203626155853271,0.9897883918766084,8.1,74.4,1.9,562.4903433322906
0.9635627530364372,1.0,0.9271255060728745,1.0,0.9621848739495799,0.5229330062866211,0.9908374174302153,9.5,74.4,1.9,562.9309260845184
0.9757085020242915,0.9916317991631799,0.9595141700404858,0.9919028340080972,0.9753086419753086,0.5190296173095703,0.9942959235522627,6.4,74.5,1.9,562.5858659744263
0.9696356275303644,0.9957264957264957,0.9433198380566802,0.9959514170040485,0.9688149688149689,0.51996248960495,0.9956235965185465,7.1,73.3,1.9,562.312421798706
0.9595141700404858,1.0,0.9190283400809717,1.0,0.9578059071729957,0.5222077965736389,0.9912635840613679,54.2,75.3,1.9,575.735178232193
0.9574898785425101,1.0,0.9149797570850202,1.0,0.9556025369978859,0.5214712023735046,0.9952629939844941,14.6,72.0,1.9,577.9729640483856
0.9757085020242915,0.9957805907172996,0.9554655870445344,0.9959514170040485,0.9752066115702479,0.5162004828453064,0.9950171286203675,6.6,71.3,1.9,562.3826768398285
0.9473684210526315,1.0,0.8947368421052632,1.0,0.9444444444444444,0.527366042137146,0.9952629939844941,20.6,71.9,1.9,570.1208779811859
0.9777327935222672,0.9916666666666667,0.9635627530364372,0.9919028340080972,0.9774127310061602,0.5186793804168701,0.9935583274598829,9.1,73.0,1.9,522.2596170902252
0.97165991902834,0.9957446808510638,0.9473684210526315,0.9959514170040485,0.970954356846473,0.5182809829711914,0.9936238915569834,13.1,73.4,1.9,562.9187729358673
0.9635627530364372,0.9872340425531915,0.9392712550607287,0.9878542510121457,0.9626556016597511,0.521467387676239,0.992640430100477,5.2,72.5,1.9,575.2633039951324
0.951417004048583,0.9955555555555555,0.9068825910931174,0.9959514170040485,0.9491525423728814,0.5268569588661194,0.9951318657902932,4.9,71.9,1.9,562.9317586421967
0.9696356275303644,0.9915254237288136,0.9473684210526315,0.9919028340080972,0.968944099378882,0.5208503007888794,0.9924273467849005,4.4,73.4,1.9,562.07350897789
0.9676113360323887,0.9832635983263598,0.951417004048583,0.9838056680161943,0.9670781893004116,0.5214560627937317,0.9926076480519267,8.1,73.5,1.9,562.3843357563019
0.97165991902834,0.9874476987447699,0.9554655870445344,0.9878542510121457,0.9711934156378601,0.5187519788742065,0.9943123145765379,4.7,73.5,1.9,562.3448839187622
