,mean,std,min,max
accuracy,0.962348178137652,0.008821237500053479,0.937246963562753,0.9757085020242915
precision,0.987516365881104,0.012230492830856168,0.9554655870445344,1.0
recall_pos,0.9368421052631579,0.022151647922161725,0.8744939271255061,0.9676113360323887
recall_neg,0.9878542510121457,0.012181211104160627,0.9554655870445344,1.0
auc,0.9926445278565458,0.0021276313483791823,0.988345981740399,0.9962300644167255
loss,0.3029891815737292,0.11401772835945873,0.1701295480329629,0.6206806969080629
cpu_percent,42.3365,6.595784359406352,34.24,54.78
ram_percent,71.38949999999998,2.0406770677245443,69.39,74.59
time_sec,606.3296499999999,132.7736662592537,437.658,834.603
