,mean,std,min,max
run,10.5,5.916079783099616,1.0,20.0
accuracy,0.9626518218623483,0.006871771744488532,0.951417004048583,0.9736842105263158
precision,0.9941954224815204,0.004219416774928284,0.9871794871794872,1.0
recall_pos,0.9307692307692307,0.014322939959564364,0.902834008097166,0.9554655870445344
recall_neg,0.9945344129554657,0.00400035196019466,0.9878542510121457,1.0
f1,0.9613713015346956,0.007393008019459767,0.948936170212766,0.9731958762886598
auc,0.9898519070956743,0.002223170265363813,0.9852234916159911,0.9943614876493632
loss,0.1973356481641531,0.0438480094323836,0.12479343265295029,0.29788634181022644
cpu_percent,68.25999999999999,7.606534586857054,60.2,82.1
ram_MB,-51.5046875,827.5154761752307,-1699.8125,1536.78125
time_sec,927.9742205739021,97.71148402798387,831.0399699211121,1109.364989042282
