,mean,std,min,max
accuracy,0.575910931174089,0.022888114004594156,0.5344129554655871,0.6214574898785425
precision,0.6210237249032499,0.028573214067812908,0.5639097744360902,0.6807228915662651
recall_pos,0.3876518218623482,0.06809979084398911,0.23481781376518218,0.4979757085020243
recall_neg,0.76417004048583,0.04266205232584334,0.6437246963562753,0.8502024291497976
auc,0.6510818076021571,0.02179402866860721,0.6184497369240604,0.7028635119408613
execution_time,4.936089679099942,0.39555302779590223,4.587019999999939,5.976621458999944
cpu_percent,37.76,4.445269514060039,32.5,46.8
ram_percent,73.70500000000001,1.1962551215311366,71.8,75.7
