run,accuracy,precision,recall_pos,recall_neg,auc,loss,cpu_percent,ram_percent,time_sec
1,0.9574898785425101,1.0,0.9149797570850202,1.0,0.986362667803111,0.19016733757118404,63.8,70.1,844.3816661834717
2,0.9595141700404858,0.9913419913419913,0.9271255060728745,0.9919028340080972,0.9880673343277221,0.20581125487952384,59.1,67.0,1561.323303937912
3,0.9615384615384616,0.9913793103448276,0.9311740890688259,0.9919028340080972,0.9904440328476126,0.17062485642952238,57.0,68.4,1676.2817459106445
4,0.9757085020242915,1.0,0.951417004048583,1.0,0.9921978724450491,0.1597442264128514,53.9,67.6,1787.1208021640778
5,0.9615384615384616,0.9956521739130435,0.9271255060728745,0.9959514170040485,0.9907554623088397,0.15767149976219016,46.2,71.2,1157.360710144043
6,0.9554655870445344,0.9912663755458515,0.9190283400809717,0.9919028340080972,0.9888868855414774,0.20408817246435626,45.9,65.5,1214.0519921779633
7,0.9635627530364372,0.9914163090128756,0.9352226720647774,0.9919028340080972,0.989116359881329,0.16720602909189758,44.4,67.6,1806.6326820850372
8,0.9676113360323887,1.0,0.9352226720647774,1.0,0.991411103279844,0.13767804196533306,44.7,68.2,1064.489233970642
9,0.9615384615384616,0.9913793103448276,0.9311740890688259,0.9919028340080972,0.989444180366831,0.19347699254014536,46.8,68.7,985.2578408718109
10,0.9635627530364372,1.0,0.9271255060728745,1.0,0.9905751610418135,0.1669145296582281,46.0,67.7,1042.2199971675873
11,0.9554655870445344,0.987012987012987,0.9230769230769231,0.9878542510121457,0.9890671868085036,0.15455427136637934,44.5,67.7,853.0135509967804
12,0.9676113360323887,0.9914893617021276,0.9433198380566802,0.9919028340080972,0.9899523021193594,0.18548042928566214,45.1,66.1,1669.4974210262299
13,0.9635627530364372,1.0,0.9271255060728745,1.0,0.9896572636824075,0.1737855134114092,44.1,67.5,2015.1473970413208
14,0.9554655870445344,0.987012987012987,0.9230769230769231,0.9878542510121457,0.9893294431969054,0.17775105546734782,46.4,66.7,1005.9374902248383
15,0.97165991902834,1.0,0.9433198380566802,1.0,0.9928207313675032,0.15448196576669038,44.5,64.6,2050.6573944091797
16,0.9574898785425101,0.9788135593220338,0.9352226720647774,0.979757085020243,0.9875428215509187,0.198626896492083,45.6,68.9,1099.1755549907684
17,0.9676113360323887,0.9957081545064378,0.9392712550607287,0.9959514170040485,0.9919847891294727,0.16263637294298083,45.1,67.9,1290.398980140686
18,0.97165991902834,1.0,0.9433198380566802,1.0,0.9934108082414069,0.1608458686057539,44.3,67.9,2125.3965859413147
19,0.9655870445344129,1.0,0.9311740890688259,1.0,0.9893294431969054,0.20238657492997222,44.6,65.9,1897.6121151447296
20,0.9635627530364372,0.9956709956709957,0.9311740890688259,0.9959514170040485,0.9883787637889492,0.17969327938291885,45.6,67.6,1271.2944791316986
